ID;Name;Description;Base Planning Level;Stored Key Figure;Calculated Key Figure;Alert Key Figure;Helper Key Figure;Generated Key Figure;Attribute Transformation;Used in Key Figures;Business Meaning;Enable Change History;Enable Planning Notes;Planning Level for Planning Notes;Enable Fixing;Order Key Figure Quantity;Aggregation Mode;Disaggregation Mode;Proportionality;Key Figure for Proportionality;Period Weight Factor;Conversion Mode;Conversion Type;Unit of Measure Conversion Configuration;Currency Conversion Configuration;Disaggregation Expression;Edit Allowed;Input/Output for Supply Planning;Input/Output for TS Forecast Consumption;Convert Using;Aggregated Constraint;Decimals;Display Format;L Script;Calculation Definitions;Snapshot Key Figure;Input Key Figures;Created By;Created On (UTC);Changed By;Changed On (UTC);Active;Hashtags;Distance from Data Source;Key Figure Notes;Calculation Notes
CONSENSUSDEMANDQTY;Consensus Demand Qty;Consensus Demand Qty;PERPRODCUST;X;X;;;;;"CONSENSUSDEMANDREV, DEPENDENTDEMANDQTY, PRICEUNIT";;X;;;;;Sum;Equal Distribution;Same Key Figure - Calculated Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;CONSENSUSDEMANDQTY@REQUEST = SUM(CONSENSUSDEMANDQTY@PERPRODCUST);;CONSENSUSDEMANDQTY;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;2;;
CONSENSUSDEMANDQTY;Consensus Demand Qty;Consensus Demand Qty;PERPRODCUST;X;X;;;;;"CONSENSUSDEMANDREV, DEPENDENTDEMANDQTY, PRICEUNIT";;X;;;;;Sum;Equal Distribution;Same Key Figure - Calculated Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;"CONSENSUSDEMANDQTY@PERPRODCUST = IF(ISNULL(CONSENSUSDEMANDQTY@PERPRODCUST), SALESFORECASTQTY@PERPRODCUST, CONSENSUSDEMANDQTY@PERPRODCUST)";;"CONSENSUSDEMANDQTY, SALESFORECASTQTY";CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;2;;
CONSENSUSDEMANDREV;Consensus Demand Revenue;Consensus Demand Revenue;PERPRODCUST;;X;;;;;PRICEUNIT;;;;;;;;;;;;Custom or None;;;;;Not Editable;;;;;6;;;CONSENSUSDEMANDREV@REQUEST = SUM(CONSENSUSDEMANDREV@PERPRODCUST);;CONSENSUSDEMANDREV;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;3;;
CONSENSUSDEMANDREV;Consensus Demand Revenue;Consensus Demand Revenue;PERPRODCUST;;X;;;;;PRICEUNIT;;;;;;;;;;;;Custom or None;;;;;Not Editable;;;;;6;;;CONSENSUSDEMANDREV@PERPRODCUST = CONSENSUSDEMANDQTY@PERPRODCUST  *  PRICEUNIT@PERPRODCUST;;"CONSENSUSDEMANDQTY, PRICEUNIT";CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;3;;
CUSTOMERRATIO;Sourcing Ratio;Sourcing Ratio;PERPRODLOCCUST;X;;;;;;DEPENDENTDEMANDQTY;;;;;;;Sum;Equal Distribution;Same Key Figure - Stored Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;CUSTOMERRATIO@REQUEST = SUM(CUSTOMERRATIO@PERPRODLOCCUST);;CUSTOMERRATIO;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;1;;
CUSTOMERREVENUE;Customer Revenue;Customer Revenue;PERPRODCUST;X;;;;;;;;;;;;;Sum;Equal Distribution;Same Key Figure - Stored Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;CUSTOMERREVENUE@REQUEST = SUM(CUSTOMERREVENUE@PERPRODCUST);;CUSTOMERREVENUE;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;1;;
DEPENDENTDEMANDQTY;Demand by Location;Demand by Location;PERPRODLOC;;X;;;;;CAPADEMAND;;;;;;;;;;;;Custom or None;;;;;Not Editable;;;;;6;;;DEPENDENTDEMANDQTY@REQUEST = SUM(DEPENDENTDEMANDQTY@PERPRODLOCCUST);;DEPENDENTDEMANDQTY;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;3;;
DEPENDENTDEMANDQTY;Demand by Location;Demand by Location;PERPRODLOC;;X;;;;;CAPADEMAND;;;;;;;;;;;;Custom or None;;;;;Not Editable;;;;;6;;;DEPENDENTDEMANDQTY@PERPRODLOC = SUM(DEPENDENTDEMANDQTY@PERPRODLOCCUST);;DEPENDENTDEMANDQTY;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;3;;
DEPENDENTDEMANDQTY;Demand by Location;Demand by Location;PERPRODLOC;;X;;;;;CAPADEMAND;;;;;;;;;;;;Custom or None;;;;;Not Editable;;;;;6;;;DEPENDENTDEMANDQTY@PERPRODLOCCUST = CONSENSUSDEMANDQTY@PERPRODCUST  *  CUSTOMERRATIO@PERPRODLOCCUST;;"CONSENSUSDEMANDQTY, CUSTOMERRATIO";CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;3;;
FORECASTPRICE;Forecast Price;Calculated as average at request level;PERPRODCUSTCURR;X;;;;;;TARGETREVENUE;;;;;;;Avg;Copy Value;No Proportional Disaggregation;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;FORECASTPRICE@REQUEST = AVG(FORECASTPRICE@PERPRODCUSTCURRCURRTOUOMTO);;FORECASTPRICE;CB8980000051;2026-01-09T17:56:53.000Z;CB8980000051;2026-01-17T17:31:18.000Z;A;;3;;
FORECASTPRICE;Forecast Price;Calculated as average at request level;PERPRODCUSTCURR;X;;;;;;TARGETREVENUE;;;;;;;Avg;Copy Value;No Proportional Disaggregation;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;FORECASTPRICE@PERPRODCUSTCURRCURRTO = FORECASTPRICE@PERPRODCUSTCURR*I22EXCHGRATE@PERCURRCURRTO;;"FORECASTPRICE, I22EXCHGRATE";CB8980000051;2026-01-09T17:56:53.000Z;CB8980000051;2026-01-17T17:31:18.000Z;A;;3;;
FORECASTPRICE;Forecast Price;Calculated as average at request level;PERPRODCUSTCURR;X;;;;;;TARGETREVENUE;;;;;;;Avg;Copy Value;No Proportional Disaggregation;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;FORECASTPRICE@PERPRODCUSTCURRCURRTOUOMTO = FORECASTPRICE@PERPRODCUSTCURRCURRTO/I22UOMCONVFACTOR@PRODUOMTO;;"FORECASTPRICE, I22UOMCONVFACTOR";CB8980000051;2026-01-09T17:56:53.000Z;CB8980000051;2026-01-17T17:31:18.000Z;A;;3;;
FORECASTPRICEWTD;Forecast Price (Weighted);Forecast Price (Weighted);PERPRODCUSTCURRCURRTOUOMTO;;X;;;;;;;;;;;;;;No Proportional Disaggregation;;;Custom or None;;;;;Not Editable;;;;;6;;;"FORECASTPRICEWTD@REQUEST = IF(ISNULL(TARGETQTY@REQUEST) OR TARGETQTY@REQUEST = 0, 0, TARGETREVENUE@REQUEST / TARGETQTY@REQUEST)";;"TARGETQTY, TARGETREVENUE";CB8980000051;2026-01-17T17:37:28.000Z;CB8980000051;2026-01-17T17:43:39.000Z;A;;4;;
HCAPADEMAND;HCAPADEMAND;HCAPADEMAND;;;;;X;;;CAPADEMANDUTILPCT;;;;;;;;;No Proportional Disaggregation;;;Custom or None;;;;;Not Editable;;;;;6;;;HCAPADEMAND@REQUEST = SUM(HCAPADEMAND@PERLOCRES);;HCAPADEMAND;CB8980000051;2026-01-09T11:03:07.000Z;CB8980000051;2026-01-09T11:04:52.000Z;A;;7;;
HCAPADEMAND;HCAPADEMAND;HCAPADEMAND;;;;;X;;;CAPADEMANDUTILPCT;;;;;;;;;No Proportional Disaggregation;;;Custom or None;;;;;Not Editable;;;;;6;;;HCAPADEMAND@PERLOCRES = CAPADEMAND@PERLOCRES;;CAPADEMAND;CB8980000051;2026-01-09T11:03:07.000Z;CB8980000051;2026-01-09T11:04:52.000Z;A;;7;;
I22EXCHGRATE;Exchange Rate 22;Exchange Rate 22;PERCURRCURRTO;X;;;;;;"TARGETREVENUE, FORECASTPRICE";;;;;;;Avg;Copy Value;No Proportional Disaggregation;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;I22EXCHGRATE@REQUEST = AVG(I22EXCHGRATE@PERCURRCURRTO);;I22EXCHGRATE;CB8980000051;2026-01-09T14:19:13.000Z;CB8980000051;2026-01-09T14:20:49.000Z;A;;1;;
